No.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 10, 2, 9, 1, 3], [6, 0, 7, 8, 5, 2], [8, 4, 0, 6, 3, 5], [5, 3, 1, 0, 2, 4], [4, 9, 10, 7, 0, 8], [7, 1, 9, 10, 6, 0]]'",248,1.0101561280000624
2,"[[0, 12, 8, 5, 5, 9], [12, 0, 9, 19, 4, 10], [8, 9, 0, 10, 15, 1], [5, 19, 10, 0, 18, 5], [5, 4, 15, 18, 0, 8], [9, 10, 1, 5, 8, 0]]'","[[0, 9, 4, 6, 8, 5], [2, 0, 3, 5, 1, 4], [7, 6, 0, 8, 10, 2], [1, 10, 9, 0, 2, 3], [3, 7, 5, 4, 0, 6], [10, 8, 1, 7, 9, 0]]'",247,0.9285151849999238
3,"[[0, 2, 11, 19, 4, 5], [2, 0, 1, 2, 2, 17], [11, 1, 0, 3, 4, 15], [19, 2, 3, 0, 2, 11], [4, 2, 4, 2, 0, 13], [5, 17, 15, 11, 13, 0]]'","[[0, 3, 7, 5, 4, 6], [9, 0, 6, 7, 10, 8], [2, 1, 0, 4, 3, 10], [10, 2, 8, 0, 1, 9], [8, 5, 9, 6, 0, 7], [1, 4, 5, 3, 2, 0]]'",187,0.899487967000141
4,"[[0, 15, 3, 4, 3, 3], [15, 0, 9, 8, 6, 6], [3, 9, 0, 9, 5, 4], [4, 8, 9, 0, 1, 14], [3, 6, 5, 1, 0, 14], [3, 6, 4, 14, 14, 0]]'","[[0, 10, 1, 8, 7, 5], [3, 0, 2, 5, 4, 1], [9, 7, 0, 6, 5, 8], [4, 9, 3, 0, 2, 10], [6, 8, 10, 1, 0, 9], [2, 6, 4, 7, 3, 0]]'",180,1.6662579249998544
5,"[[0, 19, 4, 11, 17, 3], [19, 0, 3, 5, 6, 0], [4, 3, 0, 9, 2, 19], [11, 5, 9, 0, 16, 0], [17, 6, 2, 16, 0, 11], [3, 0, 19, 0, 11, 0]]'","[[0, 2, 3, 9, 10, 1], [5, 0, 9, 4, 8, 6], [4, 7, 0, 6, 2, 5], [8, 1, 10, 0, 7, 2], [6, 3, 1, 5, 0, 4], [7, 10, 8, 3, 9, 0]]'",197,1.5760841119999895
6,"[[0, 3, 19, 6, 10, 1], [3, 0, 11, 0, 15, 0], [19, 11, 0, 11, 16, 10], [6, 0, 11, 0, 10, 3], [10, 15, 16, 10, 0, 10], [1, 0, 10, 3, 10, 0]]'","[[0, 2, 9, 10, 7, 1], [6, 0, 8, 9, 10, 7], [5, 3, 0, 2, 1, 4], [4, 1, 7, 0, 8, 3], [3, 4, 6, 5, 0, 2], [8, 5, 10, 6, 9, 0]]'",253,0.9235055359999933
7,"[[0, 17, 5, 18, 6, 9], [17, 0, 6, 13, 0, 1], [5, 6, 0, 7, 14, 18], [18, 13, 7, 0, 18, 14], [6, 0, 14, 18, 0, 0], [9, 1, 18, 14, 0, 0]]'","[[0, 2, 3, 10, 1, 8], [5, 0, 9, 8, 4, 6], [4, 7, 0, 1, 6, 5], [6, 3, 2, 0, 5, 4], [7, 10, 8, 9, 0, 3], [9, 1, 10, 7, 2, 0]]'",241,0.9419481429999905
8,"[[0, 12, 16, 14, 3, 15], [12, 0, 18, 13, 5, 3], [16, 18, 0, 16, 14, 12], [14, 13, 16, 0, 2, 18], [3, 5, 14, 2, 0, 19], [15, 3, 12, 18, 19, 0]]'","[[0, 9, 6, 5, 4, 10], [8, 0, 7, 6, 5, 2], [1, 3, 0, 10, 2, 4], [2, 4, 9, 0, 1, 3], [3, 10, 8, 7, 0, 9], [7, 1, 5, 8, 6, 0]]'",338,0.9473439640000834
9,"[[0, 9, 6, 7, 12, 6], [9, 0, 1, 10, 1, 3], [6, 1, 0, 1, 9, 6], [7, 10, 1, 0, 4, 10], [12, 1, 9, 4, 0, 7], [6, 3, 6, 10, 7, 0]]'","[[0, 2, 5, 4, 3, 1], [9, 0, 3, 10, 4, 6], [8, 7, 0, 2, 10, 9], [6, 8, 1, 0, 9, 7], [7, 1, 6, 5, 0, 8], [10, 5, 4, 3, 2, 0]]'",150,0.9861549699999159
10,"[[0, 0, 5, 19, 17, 16], [0, 0, 11, 10, 5, 8], [5, 11, 0, 6, 1, 4], [19, 10, 6, 0, 14, 5], [17, 5, 1, 14, 0, 9], [16, 8, 4, 5, 9, 0]]'","[[0, 2, 5, 7, 6, 8], [1, 0, 10, 9, 5, 6], [9, 8, 0, 6, 4, 7], [4, 3, 1, 0, 2, 5], [10, 7, 3, 8, 0, 9], [3, 4, 2, 10, 1, 0]]'",204,0.9502924029998212
