No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,0,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 2, 6, 4, 1, 10], [8, 0, 5, 9, 4, 1], [7, 10, 0, 3, 9, 4], [5, 6, 1, 0, 10, 7], [3, 7, 8, 2, 0, 5], [9, 3, 2, 8, 6, 0]]'",378,0.7830124
1,1,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 8, 1, 7, 5, 9], [4, 0, 5, 6, 10, 1], [2, 7, 0, 10, 8, 6], [3, 2, 9, 0, 4, 8], [6, 9, 3, 1, 0, 7], [10, 3, 4, 5, 2, 0]]'",311,0.7982825000000001
1,2,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 9, 10, 7, 1, 4], [3, 0, 2, 1, 10, 7], [8, 4, 0, 3, 5, 6], [5, 6, 9, 0, 4, 8], [6, 8, 7, 2, 0, 9], [2, 5, 1, 10, 3, 0]]'",333,0.9360721999999999
1,3,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 4, 3, 9, 7, 2], [6, 0, 2, 10, 1, 7], [5, 9, 0, 8, 6, 10], [1, 5, 7, 0, 3, 4], [10, 8, 4, 2, 0, 9], [8, 3, 1, 6, 5, 0]]'",335,0.8071646000000001
1,4,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 10, 4, 2, 9, 1], [6, 0, 8, 9, 3, 4], [5, 7, 0, 10, 1, 6], [7, 1, 3, 0, 6, 8], [8, 5, 2, 4, 0, 10], [3, 2, 9, 5, 7, 0]]'",347,0.7880478000000002
1,5,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 5, 9, 10, 4, 3], [8, 0, 6, 9, 2, 1], [1, 7, 0, 2, 5, 4], [7, 4, 3, 0, 8, 5], [6, 3, 10, 1, 0, 7], [2, 10, 8, 6, 9, 0]]'",344,0.8111268999999997
1,6,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 9, 8, 1, 4, 10], [6, 0, 1, 2, 7, 4], [2, 10, 0, 4, 9, 5], [3, 5, 7, 0, 6, 9], [5, 8, 3, 10, 0, 2], [7, 3, 6, 8, 1, 0]]'",337,0.8635698999999999
1,7,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 9, 1, 2, 10, 4], [5, 0, 3, 1, 2, 6], [6, 10, 0, 7, 9, 8], [8, 4, 5, 0, 6, 10], [7, 8, 4, 3, 0, 1], [3, 7, 2, 9, 5, 0]]'",331,0.8084208999999998
1,8,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 3, 1, 7, 4, 10], [6, 0, 2, 9, 1, 7], [8, 4, 0, 10, 9, 3], [2, 5, 6, 0, 3, 4], [5, 10, 7, 8, 0, 6], [9, 8, 5, 1, 2, 0]]'",335,0.7860475999999998
1,9,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 5, 10, 6, 2, 8], [9, 0, 1, 2, 3, 10], [3, 7, 0, 4, 8, 2], [7, 8, 5, 0, 1, 9], [4, 6, 9, 10, 0, 7], [1, 4, 6, 3, 5, 0]]'",339,0.7977820000000007
