No.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,"[[0, 19, 6, 12, 14, 0, 4, 18, 4, 0], [19, 0, 7, 6, 14, 18, 8, 9, 13, 10], [6, 7, 0, 12, 18, 8, 19, 6, 16, 7], [12, 6, 12, 0, 3, 3, 12, 15, 7, 9], [14, 14, 18, 3, 0, 2, 11, 11, 1, 4], [0, 18, 8, 3, 2, 0, 10, 7, 12, 0], [4, 8, 19, 12, 11, 10, 0, 16, 19, 15], [18, 9, 6, 15, 11, 7, 16, 0, 18, 15], [4, 13, 16, 7, 1, 12, 19, 18, 0, 14], [0, 10, 7, 9, 4, 0, 15, 15, 14, 0]]'","[[0, 10, 8, 3, 4, 11, 13, 17, 12, 7], [18, 0, 17, 16, 6, 13, 12, 14, 8, 5], [15, 1, 0, 4, 11, 12, 14, 13, 3, 9], [9, 11, 5, 0, 7, 2, 10, 15, 17, 6], [16, 3, 10, 13, 0, 8, 17, 9, 1, 15], [1, 15, 18, 14, 5, 0, 16, 4, 6, 17], [2, 9, 6, 1, 18, 7, 0, 3, 15, 8], [6, 7, 2, 8, 12, 10, 5, 0, 11, 18], [5, 2, 7, 18, 14, 9, 4, 16, 0, 13], [14, 4, 16, 12, 2, 3, 11, 1, 10, 0]]'",1207,50.65744614600001
2,"[[0, 17, 17, 8, 0, 18, 0, 16, 11, 6], [17, 0, 10, 14, 3, 9, 4, 1, 19, 0], [17, 10, 0, 13, 6, 9, 11, 8, 5, 12], [8, 14, 13, 0, 3, 17, 1, 6, 12, 13], [0, 3, 6, 3, 0, 1, 6, 19, 1, 7], [18, 9, 9, 17, 1, 0, 9, 15, 18, 16], [0, 4, 11, 1, 6, 9, 0, 1, 2, 3], [16, 1, 8, 6, 19, 15, 1, 0, 13, 14], [11, 19, 5, 12, 1, 18, 2, 13, 0, 16], [6, 0, 12, 13, 7, 16, 3, 14, 16, 0]]'","[[0, 2, 16, 7, 6, 18, 8, 12, 9, 13], [10, 0, 15, 6, 13, 3, 11, 5, 17, 16], [4, 1, 0, 5, 12, 17, 7, 8, 13, 2], [15, 14, 9, 0, 16, 13, 4, 3, 12, 1], [11, 8, 10, 17, 0, 1, 2, 9, 3, 18], [14, 9, 6, 11, 7, 0, 12, 2, 15, 10], [1, 18, 3, 10, 15, 5, 0, 13, 16, 17], [17, 4, 11, 18, 14, 16, 6, 0, 10, 7], [5, 7, 18, 2, 4, 8, 14, 1, 0, 6], [3, 12, 14, 8, 5, 4, 9, 15, 11, 0]]'",1058,41.921607077000004
3,"[[0, 15, 13, 11, 11, 13, 11, 5, 17, 10], [15, 0, 7, 16, 12, 6, 12, 17, 2, 14], [13, 7, 0, 15, 10, 7, 6, 15, 15, 17], [11, 16, 15, 0, 12, 16, 2, 0, 10, 4], [11, 12, 10, 12, 0, 19, 12, 2, 14, 17], [13, 6, 7, 16, 19, 0, 19, 12, 10, 7], [11, 12, 6, 2, 12, 19, 0, 18, 10, 18], [5, 17, 15, 0, 2, 12, 18, 0, 14, 18], [17, 2, 15, 10, 14, 10, 10, 14, 0, 18], [10, 14, 17, 4, 17, 7, 18, 18, 18, 0]]'","[[0, 3, 9, 1, 14, 18, 6, 10, 11, 7], [13, 0, 14, 17, 15, 12, 2, 5, 4, 6], [15, 16, 0, 5, 18, 7, 11, 2, 17, 3], [2, 10, 12, 0, 6, 16, 8, 11, 3, 15], [5, 11, 8, 7, 0, 10, 3, 4, 9, 12], [8, 9, 1, 4, 13, 0, 5, 3, 6, 17], [16, 1, 4, 13, 17, 15, 0, 12, 7, 14], [17, 7, 6, 9, 16, 14, 18, 0, 8, 13], [12, 18, 13, 14, 1, 2, 10, 15, 0, 16], [4, 8, 10, 18, 2, 11, 9, 1, 5, 0]]'",1412,42.812928449
4,"[[0, 13, 12, 2, 14, 18, 19, 16, 18, 5], [13, 0, 18, 10, 17, 14, 9, 12, 10, 14], [12, 18, 0, 16, 3, 10, 0, 12, 14, 18], [2, 10, 16, 0, 14, 12, 8, 0, 2, 8], [14, 17, 3, 14, 0, 5, 2, 12, 8, 16], [18, 14, 10, 12, 5, 0, 7, 12, 14, 12], [19, 9, 0, 8, 2, 7, 0, 15, 19, 1], [16, 12, 12, 0, 12, 12, 15, 0, 0, 11], [18, 10, 14, 2, 8, 14, 19, 0, 0, 7], [5, 14, 18, 8, 16, 12, 1, 11, 7, 0]]'","[[0, 6, 4, 9, 18, 1, 3, 13, 2, 10], [17, 0, 12, 4, 13, 7, 11, 14, 8, 5], [14, 18, 0, 7, 5, 15, 8, 10, 17, 16], [5, 1, 2, 0, 11, 17, 14, 3, 16, 12], [12, 2, 1, 10, 0, 16, 6, 17, 7, 8], [8, 3, 6, 18, 14, 0, 5, 12, 13, 9], [16, 10, 13, 15, 9, 4, 0, 1, 18, 17], [11, 16, 9, 8, 15, 2, 7, 0, 4, 6], [15, 9, 11, 6, 3, 10, 12, 5, 0, 1], [7, 15, 3, 13, 4, 11, 2, 18, 14, 0]]'",1264,42.208624000999976
5,"[[0, 13, 17, 0, 1, 14, 3, 15, 10, 15], [13, 0, 11, 2, 6, 2, 13, 18, 18, 2], [17, 11, 0, 3, 1, 19, 11, 8, 19, 1], [0, 2, 3, 0, 16, 3, 11, 0, 19, 5], [1, 6, 1, 16, 0, 14, 6, 11, 2, 18], [14, 2, 19, 3, 14, 0, 7, 1, 18, 15], [3, 13, 11, 11, 6, 7, 0, 11, 10, 6], [15, 18, 8, 0, 11, 1, 11, 0, 12, 3], [10, 18, 19, 19, 2, 18, 10, 12, 0, 19], [15, 2, 1, 5, 18, 15, 6, 3, 19, 0]]'","[[0, 10, 18, 15, 3, 9, 13, 7, 2, 14], [12, 0, 14, 3, 15, 11, 1, 2, 18, 13], [17, 5, 0, 11, 7, 8, 9, 13, 4, 15], [4, 9, 10, 0, 13, 6, 5, 18, 12, 2], [8, 16, 6, 17, 0, 12, 11, 1, 9, 18], [1, 7, 3, 14, 2, 0, 18, 15, 13, 5], [16, 4, 2, 7, 10, 17, 0, 14, 15, 8], [6, 8, 12, 16, 5, 4, 3, 0, 10, 17], [5, 17, 1, 8, 14, 16, 6, 11, 0, 7], [11, 6, 16, 1, 4, 10, 12, 9, 3, 0]]'",1089,41.206591006999986
6,"[[0, 4, 6, 12, 5, 5, 8, 17, 11, 5], [4, 0, 1, 18, 13, 18, 19, 13, 0, 9], [6, 1, 0, 13, 1, 8, 16, 18, 5, 18], [12, 18, 13, 0, 10, 17, 15, 9, 18, 17], [5, 13, 1, 10, 0, 4, 14, 19, 11, 19], [5, 18, 8, 17, 4, 0, 7, 12, 7, 15], [8, 19, 16, 15, 14, 7, 0, 16, 7, 12], [17, 13, 18, 9, 19, 12, 16, 0, 2, 10], [11, 0, 5, 18, 11, 7, 7, 2, 0, 9], [5, 9, 18, 17, 19, 15, 12, 10, 9, 0]]'","[[0, 13, 4, 15, 3, 5, 14, 16, 7, 8], [12, 0, 6, 18, 10, 14, 5, 17, 4, 16], [10, 9, 0, 14, 18, 1, 2, 15, 16, 17], [6, 11, 3, 0, 5, 7, 4, 8, 9, 1], [1, 2, 7, 17, 0, 16, 13, 4, 15, 14], [18, 3, 8, 13, 12, 0, 10, 9, 6, 4], [17, 8, 11, 16, 9, 15, 0, 1, 12, 7], [2, 7, 5, 12, 6, 11, 3, 0, 10, 18], [11, 1, 13, 2, 8, 17, 18, 14, 0, 3], [9, 15, 12, 10, 11, 2, 6, 13, 5, 0]]'",1293,41.928932191
7,"[[0, 7, 15, 0, 19, 4, 11, 13, 19, 7], [7, 0, 16, 7, 12, 17, 8, 10, 7, 5], [15, 16, 0, 11, 16, 17, 17, 7, 12, 5], [0, 7, 11, 0, 15, 19, 6, 6, 8, 16], [19, 12, 16, 15, 0, 14, 4, 0, 4, 0], [4, 17, 17, 19, 14, 0, 19, 12, 19, 10], [11, 8, 17, 6, 4, 19, 0, 6, 14, 16], [13, 10, 7, 6, 0, 12, 6, 0, 14, 14], [19, 7, 12, 8, 4, 19, 14, 14, 0, 1], [7, 5, 5, 16, 0, 10, 16, 14, 1, 0]]'","[[0, 16, 1, 5, 2, 9, 7, 3, 8, 4], [17, 0, 18, 14, 9, 10, 3, 8, 1, 15], [10, 12, 0, 9, 15, 16, 6, 17, 11, 14], [15, 6, 4, 0, 17, 7, 2, 13, 12, 18], [6, 11, 5, 16, 0, 14, 8, 1, 4, 7], [12, 13, 8, 1, 3, 0, 11, 4, 5, 2], [18, 4, 13, 10, 12, 17, 0, 16, 14, 1], [14, 7, 2, 11, 18, 15, 5, 0, 6, 10], [13, 2, 7, 3, 10, 18, 15, 9, 0, 16], [11, 5, 3, 8, 13, 6, 9, 12, 17, 0]]'",1283,41.813408901
8,"[[0, 0, 18, 5, 8, 15, 7, 16, 17, 1], [0, 0, 3, 15, 12, 12, 13, 0, 12, 3], [18, 3, 0, 13, 0, 13, 15, 16, 6, 19], [5, 15, 13, 0, 16, 19, 16, 9, 19, 10], [8, 12, 0, 16, 0, 13, 18, 15, 18, 17], [15, 12, 13, 19, 13, 0, 3, 10, 14, 1], [7, 13, 15, 16, 18, 3, 0, 10, 17, 7], [16, 0, 16, 9, 15, 10, 10, 0, 12, 17], [17, 12, 6, 19, 18, 14, 17, 12, 0, 6], [1, 3, 19, 10, 17, 1, 7, 17, 6, 0]]'","[[0, 1, 8, 11, 10, 2, 13, 9, 12, 5], [14, 0, 12, 4, 13, 5, 8, 16, 9, 7], [17, 2, 0, 10, 1, 15, 7, 11, 4, 18], [16, 3, 14, 0, 2, 1, 5, 6, 13, 8], [4, 18, 3, 7, 0, 8, 6, 5, 15, 16], [6, 10, 16, 12, 9, 0, 17, 7, 11, 13], [18, 11, 9, 15, 12, 14, 0, 4, 10, 1], [3, 15, 13, 17, 14, 18, 2, 0, 1, 10], [7, 6, 5, 18, 17, 3, 16, 8, 0, 2], [15, 17, 6, 9, 11, 4, 3, 12, 14, 0]]'",1360,42.035381625000014
9,"[[0, 19, 5, 9, 13, 14, 3, 7, 1, 19], [19, 0, 7, 10, 5, 9, 4, 2, 0, 12], [5, 7, 0, 17, 8, 4, 10, 12, 10, 9], [9, 10, 17, 0, 16, 18, 5, 17, 10, 12], [13, 5, 8, 16, 0, 6, 8, 3, 16, 14], [14, 9, 4, 18, 6, 0, 12, 3, 4, 14], [3, 4, 10, 5, 8, 12, 0, 18, 12, 19], [7, 2, 12, 17, 3, 3, 18, 0, 13, 5], [1, 0, 10, 10, 16, 4, 12, 13, 0, 18], [19, 12, 9, 12, 14, 14, 19, 5, 18, 0]]'","[[0, 3, 15, 1, 14, 12, 7, 13, 11, 6], [8, 0, 4, 15, 1, 18, 14, 12, 7, 13], [17, 6, 0, 13, 9, 10, 11, 16, 2, 8], [9, 11, 5, 0, 4, 16, 12, 8, 10, 7], [18, 2, 7, 6, 0, 13, 10, 3, 17, 12], [4, 5, 3, 14, 11, 0, 15, 7, 1, 17], [16, 17, 18, 2, 8, 9, 0, 4, 6, 5], [2, 10, 14, 17, 5, 6, 1, 0, 18, 15], [5, 16, 12, 3, 15, 8, 13, 9, 0, 14], [10, 9, 1, 18, 16, 2, 3, 11, 4, 0]]'",1166,42.48218277000001
10,"[[0, 2, 13, 6, 11, 18, 19, 7, 12, 2], [2, 0, 11, 14, 8, 0, 14, 14, 1, 4], [13, 11, 0, 10, 18, 19, 1, 12, 1, 14], [6, 14, 10, 0, 11, 0, 8, 12, 0, 17], [11, 8, 18, 11, 0, 19, 10, 9, 16, 5], [18, 0, 19, 0, 19, 0, 10, 15, 14, 19], [19, 14, 1, 8, 10, 10, 0, 2, 14, 15], [7, 14, 12, 12, 9, 15, 2, 0, 19, 8], [12, 1, 1, 0, 16, 14, 14, 19, 0, 7], [2, 4, 14, 17, 5, 19, 15, 8, 7, 0]]'","[[0, 2, 5, 9, 15, 10, 3, 4, 11, 18], [7, 0, 13, 5, 14, 15, 9, 6, 4, 1], [1, 10, 0, 2, 6, 8, 12, 7, 14, 17], [14, 16, 18, 0, 12, 6, 4, 15, 17, 3], [17, 18, 9, 8, 0, 11, 16, 5, 3, 4], [12, 3, 4, 7, 2, 0, 17, 18, 9, 5], [8, 11, 15, 10, 13, 1, 0, 14, 18, 7], [13, 17, 3, 11, 1, 16, 2, 0, 10, 9], [6, 12, 16, 1, 7, 13, 5, 8, 0, 2], [16, 8, 11, 13, 10, 14, 6, 12, 15, 0]]'",1201,43.862898461999976
