No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,0,"[[0, 14, 11, 16, 0, 6], [14, 0, 16, 15, 3, 1], [11, 16, 0, 13, 3, 11], [16, 15, 13, 0, 5, 7], [0, 3, 3, 5, 0, 1], [6, 1, 11, 7, 1, 0]]'","[[0, 10, 2, 3, 8, 9], [4, 0, 1, 2, 3, 5], [6, 8, 0, 10, 9, 7], [7, 9, 5, 0, 6, 8], [5, 7, 4, 1, 0, 10], [1, 6, 3, 4, 2, 0]]'",209.0,30.109351192997565
2,0,"[[0, 12, 8, 5, 5, 9], [12, 0, 9, 19, 4, 10], [8, 9, 0, 10, 15, 1], [5, 19, 10, 0, 18, 5], [5, 4, 15, 18, 0, 8], [9, 10, 1, 5, 8, 0]]'","[[0, 9, 3, 1, 10, 2], [5, 0, 4, 2, 6, 3], [7, 1, 0, 6, 8, 9], [8, 10, 5, 0, 9, 4], [4, 7, 2, 3, 0, 1], [6, 8, 10, 7, 5, 0]]'",239.0,30.104782161000912
3,0,"[[0, 2, 11, 19, 4, 5], [2, 0, 1, 2, 2, 17], [11, 1, 0, 3, 4, 15], [19, 2, 3, 0, 2, 11], [4, 2, 4, 2, 0, 13], [5, 17, 15, 11, 13, 0]]'","[[0, 7, 8, 9, 10, 1], [4, 0, 2, 6, 8, 5], [5, 3, 0, 7, 6, 4], [2, 1, 10, 0, 4, 3], [3, 9, 1, 5, 0, 2], [6, 10, 9, 8, 7, 0]]'",154.0,30.11928779599839
4,0,"[[0, 15, 3, 4, 3, 3], [15, 0, 9, 8, 6, 6], [3, 9, 0, 9, 5, 4], [4, 8, 9, 0, 1, 14], [3, 6, 5, 1, 0, 14], [3, 6, 4, 14, 14, 0]]'","[[0, 2, 3, 10, 9, 1], [6, 0, 5, 7, 8, 4], [8, 10, 0, 9, 4, 6], [4, 1, 2, 0, 5, 3], [7, 3, 1, 6, 0, 2], [5, 9, 7, 8, 10, 0]]'",172.0,30.118001737999293
5,0,"[[0, 19, 4, 11, 17, 3], [19, 0, 3, 5, 6, 0], [4, 3, 0, 9, 2, 19], [11, 5, 9, 0, 16, 0], [17, 6, 2, 16, 0, 11], [3, 0, 19, 0, 11, 0]]'","[[0, 3, 1, 4, 2, 5], [9, 0, 10, 2, 1, 8], [6, 5, 0, 3, 9, 4], [8, 6, 7, 0, 10, 9], [7, 4, 8, 5, 0, 6], [10, 7, 2, 1, 3, 0]]'",161.0,30.10610769899722
6,0,"[[0, 3, 19, 6, 10, 1], [3, 0, 11, 0, 15, 0], [19, 11, 0, 11, 16, 10], [6, 0, 11, 0, 10, 3], [10, 15, 16, 10, 0, 10], [1, 0, 10, 3, 10, 0]]'","[[0, 3, 2, 4, 1, 6], [9, 0, 4, 5, 10, 1], [8, 7, 0, 6, 9, 5], [10, 8, 1, 0, 2, 9], [5, 6, 3, 7, 0, 4], [7, 2, 10, 3, 8, 0]]'",234.0,30.117931640997995
7,0,"[[0, 17, 5, 18, 6, 9], [17, 0, 6, 13, 0, 1], [5, 6, 0, 7, 14, 18], [18, 13, 7, 0, 18, 14], [6, 0, 14, 18, 0, 0], [9, 1, 18, 14, 0, 0]]'","[[0, 3, 1, 4, 10, 2], [6, 0, 2, 1, 5, 7], [7, 9, 0, 5, 8, 10], [8, 10, 6, 0, 7, 9], [9, 4, 3, 2, 0, 1], [5, 8, 4, 3, 6, 0]]'",239.0,30.09339635699871
8,0,"[[0, 12, 16, 14, 3, 15], [12, 0, 18, 13, 5, 3], [16, 18, 0, 16, 14, 12], [14, 13, 16, 0, 2, 18], [3, 5, 14, 2, 0, 19], [15, 3, 12, 18, 19, 0]]'","[[0, 6, 2, 1, 7, 5], [9, 0, 10, 7, 8, 4], [3, 5, 0, 8, 4, 6], [4, 2, 9, 0, 5, 3], [10, 3, 1, 6, 0, 2], [8, 1, 7, 10, 9, 0]]'",331.0,30.109775471999455
9,0,"[[0, 9, 6, 7, 12, 6], [9, 0, 1, 10, 1, 3], [6, 1, 0, 1, 9, 6], [7, 10, 1, 0, 4, 10], [12, 1, 9, 4, 0, 7], [6, 3, 6, 10, 7, 0]]'","[[0, 7, 6, 5, 8, 9], [10, 0, 3, 9, 6, 8], [2, 1, 0, 8, 9, 10], [4, 2, 7, 0, 1, 3], [3, 5, 4, 10, 0, 2], [1, 4, 5, 6, 7, 0]]'",151.0,30.111020913001994
10,0,"[[0, 0, 5, 19, 17, 16], [0, 0, 11, 10, 5, 8], [5, 11, 0, 6, 1, 4], [19, 10, 6, 0, 14, 5], [17, 5, 1, 14, 0, 9], [16, 8, 4, 5, 9, 0]]'","[[0, 1, 5, 2, 4, 3], [8, 0, 4, 3, 5, 2], [9, 10, 0, 6, 3, 1], [10, 9, 7, 0, 8, 4], [6, 7, 2, 1, 0, 10], [7, 6, 8, 5, 9, 0]]'",186.0,30.128719279000507
