No.,Repeat no.Distance_matrix,Feasible_solution,Cost,Solve time (sec),
1,0,"[[0, 0, 2, 0, 15, 14, 17, 11], [0, 0, 5, 19, 8, 0, 2, 15], [2, 5, 0, 0, 5, 12, 6, 5], [0, 19, 0, 0, 13, 6, 3, 6], [15, 8, 5, 13, 0, 14, 12, 15], [14, 0, 12, 6, 14, 0, 5, 4], [17, 2, 6, 3, 12, 5, 0, 5], [11, 15, 5, 6, 15, 4, 5, 0]]'","[[0, 6, 9, 8, 4, 3, 5, 2], [12, 0, 14, 13, 7, 10, 9, 8], [7, 1, 0, 4, 12, 2, 10, 3], [1, 2, 5, 0, 6, 9, 3, 10], [10, 3, 8, 11, 0, 1, 2, 9], [13, 11, 6, 14, 5, 0, 12, 7], [14, 4, 11, 7, 13, 8, 0, 1], [11, 5, 13, 12, 14, 4, 6, 0]]'",362,60.24793531
2,0,"[[0, 15, 14, 1, 6, 18, 7, 6], [15, 0, 4, 17, 8, 3, 8, 7], [14, 4, 0, 3, 16, 3, 18, 7], [1, 17, 3, 0, 5, 12, 15, 7], [6, 8, 16, 5, 0, 1, 11, 4], [18, 3, 3, 12, 1, 0, 11, 15], [7, 8, 18, 15, 11, 11, 0, 17], [6, 7, 7, 7, 4, 15, 17, 0]]'","[[0, 8, 12, 13, 10, 11, 7, 9], [2, 0, 9, 3, 11, 12, 1, 10], [4, 13, 0, 11, 6, 7, 5, 3], [6, 5, 14, 0, 7, 8, 9, 4], [14, 4, 2, 1, 0, 3, 8, 5], [5, 6, 1, 10, 9, 0, 4, 2], [3, 14, 10, 2, 12, 13, 0, 11], [1, 7, 8, 12, 13, 14, 6, 0]]'",449,60.26865966
3,0,"[[0, 1, 8, 12, 17, 17, 13, 14], [1, 0, 7, 3, 7, 9, 0, 5], [8, 7, 0, 15, 0, 4, 0, 4], [12, 3, 15, 0, 15, 15, 16, 17], [17, 7, 0, 15, 0, 13, 15, 2], [17, 9, 4, 15, 13, 0, 9, 6], [13, 0, 0, 16, 15, 9, 0, 1], [14, 5, 4, 17, 2, 6, 1, 0]]'","[[0, 14, 6, 9, 7, 8, 5, 4], [1, 0, 7, 13, 9, 6, 4, 8], [10, 5, 0, 11, 8, 1, 3, 2], [3, 2, 4, 0, 6, 5, 8, 7], [2, 3, 12, 1, 0, 4, 11, 5], [11, 10, 14, 12, 13, 0, 2, 3], [13, 12, 9, 14, 10, 7, 0, 6], [12, 11, 13, 10, 14, 9, 1, 0]]'",390,60.27084902
4,0,"[[0, 15, 18, 19, 4, 0, 16, 19], [15, 0, 9, 12, 12, 1, 14, 1], [18, 9, 0, 18, 13, 12, 1, 10], [19, 12, 18, 0, 15, 1, 7, 3], [4, 12, 13, 15, 0, 3, 2, 10], [0, 1, 12, 1, 3, 0, 4, 4], [16, 14, 1, 7, 2, 4, 0, 19], [19, 1, 10, 3, 10, 4, 19, 0]]'","[[0, 9, 10, 11, 7, 13, 12, 8], [4, 0, 13, 6, 3, 5, 14, 7], [3, 2, 0, 5, 4, 7, 8, 6], [14, 12, 1, 0, 13, 9, 7, 2], [1, 10, 11, 8, 0, 12, 5, 9], [6, 8, 14, 10, 2, 0, 1, 11], [2, 11, 9, 4, 6, 3, 0, 10], [5, 1, 12, 3, 14, 4, 13, 0]]'",392,60.46828469
5,0,"[[0, 9, 4, 4, 10, 0, 17, 11], [9, 0, 15, 13, 18, 19, 9, 6], [4, 15, 0, 2, 3, 19, 6, 3], [4, 13, 2, 0, 8, 2, 17, 6], [10, 18, 3, 8, 0, 2, 17, 19], [0, 19, 19, 2, 2, 0, 10, 0], [17, 9, 6, 17, 17, 10, 0, 2], [11, 6, 3, 6, 19, 0, 2, 0]]'","[[0, 10, 7, 2, 14, 1, 8, 9], [6, 0, 2, 3, 1, 7, 9, 8], [12, 11, 0, 4, 3, 13, 14, 6], [13, 12, 8, 0, 7, 14, 11, 10], [5, 4, 9, 6, 0, 12, 10, 11], [11, 5, 10, 9, 8, 0, 6, 4], [4, 13, 1, 5, 2, 3, 0, 12], [3, 14, 5, 1, 13, 2, 7, 0]]'",399,60.48710991
6,0,"[[0, 13, 2, 3, 14, 4, 6, 2], [13, 0, 17, 17, 11, 5, 6, 9], [2, 17, 0, 19, 18, 15, 0, 9], [3, 17, 19, 0, 17, 0, 12, 1], [14, 11, 18, 17, 0, 18, 9, 0], [4, 5, 15, 0, 18, 0, 5, 0], [6, 6, 0, 12, 9, 5, 0, 7], [2, 9, 9, 1, 0, 0, 7, 0]]'","[[0, 14, 6, 10, 3, 9, 13, 4], [11, 0, 3, 12, 7, 13, 4, 8], [2, 9, 0, 11, 8, 10, 5, 12], [5, 2, 4, 0, 6, 1, 3, 7], [12, 1, 14, 13, 0, 11, 2, 10], [8, 5, 7, 14, 4, 0, 6, 3], [7, 10, 1, 8, 9, 12, 0, 11], [1, 6, 13, 9, 5, 2, 14, 0]]'",342,60.2801782
7,0,"[[0, 3, 13, 4, 19, 1, 5, 19], [3, 0, 11, 19, 15, 3, 9, 6], [13, 11, 0, 17, 4, 18, 6, 0], [4, 19, 17, 0, 16, 3, 1, 11], [19, 15, 4, 16, 0, 12, 18, 18], [1, 3, 18, 3, 12, 0, 17, 4], [5, 9, 6, 1, 18, 17, 0, 17], [19, 6, 0, 11, 18, 4, 17, 0]]'","[[0, 13, 10, 3, 11, 8, 2, 9], [6, 0, 9, 7, 10, 5, 8, 11], [4, 2, 0, 6, 1, 3, 5, 12], [1, 12, 14, 0, 8, 2, 11, 13], [14, 3, 13, 5, 0, 4, 6, 2], [7, 14, 11, 9, 12, 0, 10, 1], [12, 1, 7, 4, 9, 13, 0, 14], [5, 4, 8, 10, 7, 6, 3, 0]]'",440,60.27329504
8,0,"[[0, 0, 0, 8, 3, 11, 7, 14], [0, 0, 11, 1, 18, 0, 16, 8], [0, 11, 0, 9, 13, 2, 13, 11], [8, 1, 9, 0, 17, 13, 15, 14], [3, 18, 13, 17, 0, 6, 17, 12], [11, 0, 2, 13, 6, 0, 1, 16], [7, 16, 13, 15, 17, 1, 0, 14], [14, 8, 11, 14, 12, 16, 14, 0]]'","[[0, 3, 14, 2, 1, 12, 11, 13], [6, 0, 12, 1, 5, 14, 13, 4], [7, 2, 0, 3, 4, 13, 10, 1], [9, 10, 8, 0, 7, 11, 12, 14], [8, 11, 9, 13, 0, 10, 14, 12], [5, 9, 6, 4, 2, 0, 1, 3], [4, 7, 5, 6, 3, 8, 0, 2], [10, 8, 11, 5, 6, 7, 9, 0]]'",453,60.24985191
9,0,"[[0, 13, 17, 4, 5, 18, 9, 7], [13, 0, 3, 18, 0, 4, 19, 15], [17, 3, 0, 18, 10, 19, 19, 2], [4, 18, 18, 0, 6, 10, 16, 5], [5, 0, 10, 6, 0, 16, 8, 8], [18, 4, 19, 10, 16, 0, 0, 10], [9, 19, 19, 16, 8, 0, 0, 2], [7, 15, 2, 5, 8, 10, 2, 0]]'","[[0, 6, 5, 1, 7, 2, 3, 4], [8, 0, 2, 7, 1, 10, 9, 11], [11, 13, 0, 10, 12, 14, 8, 9], [14, 3, 4, 0, 2, 11, 12, 5], [9, 4, 3, 6, 0, 5, 11, 10], [13, 12, 7, 9, 8, 0, 1, 6], [10, 5, 6, 13, 14, 4, 0, 7], [12, 14, 1, 8, 13, 3, 2, 0]]'",412,60.57500857
10,0,"[[0, 19, 8, 2, 5, 3, 1, 1], [19, 0, 3, 16, 5, 4, 2, 4], [8, 3, 0, 5, 13, 19, 5, 16], [2, 16, 5, 0, 4, 16, 7, 15], [5, 5, 13, 4, 0, 15, 7, 12], [3, 4, 19, 16, 15, 0, 15, 10], [1, 2, 5, 7, 7, 15, 0, 12], [1, 4, 16, 15, 12, 10, 12, 0]]'","[[0, 4, 3, 8, 5, 11, 14, 1], [9, 0, 5, 10, 11, 14, 6, 8], [7, 12, 0, 6, 8, 9, 11, 10], [2, 13, 14, 0, 7, 12, 1, 11], [13, 2, 1, 9, 0, 10, 12, 14], [6, 1, 2, 3, 4, 0, 5, 7], [10, 7, 13, 4, 3, 8, 0, 9], [12, 3, 4, 5, 6, 13, 2, 0]]'",366,60.26927963
